stop_name	subway_name
Alewife	Red
Davis	Red
Porter	Red
Harvard	Red
Central	Red
Kendall/MIT	Red
Charles/MGH	Red
Park Street	Red
Downtown Crossing	Red
South Station	Red
Broadway	Red
Andrew	Red
JFK/UMass	Red
Savin Hill	Red
Fields Corner	Red
Shawmut	Red
Ashmont	Red
North Quincy	Red
Wollaston	Red
Quincy Center	Red
Quincy Adams	Red
Braintree	Red
Ashmont	Mattapan
Cedar Grove	Mattapan
Butler	Mattapan
Milton	Mattapan
Central Avenue	Mattapan
Valley Road	Mattapan
Capen Street	Mattapan
Mattapan	Mattapan
Forest Hills	Orange
Green Street	Orange
Stony Brook	Orange
Jackson Square	Orange
Roxbury Crossing	Orange
Ruggles	Orange
Massachusetts Avenue	Orange
Back Bay	Orange
Tufts Medical Center	Orange
Chinatown	Orange
Downtown Crossing	Orange
State	Orange
Haymarket	Orange
North Station	Orange
Community College	Orange
Sullivan Square	Orange
Assembly	Orange
Wellington	Orange
Malden Center	Orange
Oak Grove	Orange
Government Center	Green-B
Park Street	Green-B
Boylston	Green-B
Arlington	Green-B
Copley	Green-B
Hynes Convention Center	Green-B
Kenmore	Green-B
Blandford Street	Green-B
Boston University East	Green-B
Boston University Central	Green-B
Amory Street	Green-B
Babcock Street	Green-B
Packard's Corner	Green-B
Harvard Avenue	Green-B
Griggs Street	Green-B
Allston Street	Green-B
Warren Street	Green-B
Washington Street	Green-B
Sutherland Road	Green-B
Chiswick Road	Green-B
Chestnut Hill Avenue	Green-B
South Street	Green-B
Boston College	Green-B
Cleveland Circle	Green-C
Englewood Avenue	Green-C
Dean Road	Green-C
Tappan Street	Green-C
Washington Square	Green-C
Fairbanks Street	Green-C
Brandon Hall	Green-C
Summit Avenue	Green-C
Coolidge Corner	Green-C
Saint Paul Street	Green-C
Kent Street	Green-C
Hawes Street	Green-C
Saint Mary's Street	Green-C
Kenmore	Green-C
Hynes Convention Center	Green-C
Copley	Green-C
Arlington	Green-C
Boylston	Green-C
Park Street	Green-C
Government Center	Green-C
Riverside	Green-D
Woodland	Green-D
Waban	Green-D
Eliot	Green-D
Newton Highlands	Green-D
Newton Centre	Green-D
Chestnut Hill	Green-D
Reservoir	Green-D
Beaconsfield	Green-D
Brookline Hills	Green-D
Brookline Village	Green-D
Longwood	Green-D
Fenway	Green-D
Kenmore	Green-D
Hynes Convention Center	Green-D
Copley	Green-D
Arlington	Green-D
Boylston	Green-D
Park Street	Green-D
Government Center	Green-D
Haymarket	Green-D
North Station	Green-D
Science Park/West End	Green-D
Lechmere	Green-D
Union Square	Green-D
Heath Street	Green-E
Back of the Hill	Green-E
Riverway	Green-E
Mission Park	Green-E
Fenwood Road	Green-E
Brigham Circle	Green-E
Longwood Medical Area	Green-E
Museum of Fine Arts	Green-E
Northeastern University	Green-E
Symphony	Green-E
Prudential	Green-E
Copley	Green-E
Arlington	Green-E
Boylston	Green-E
Park Street	Green-E
Government Center	Green-E
Haymarket	Green-E
North Station	Green-E
Science Park/West End	Green-E
Lechmere	Green-E
East Somerville	Green-E
Gilman Square	Green-E
Magoun Square	Green-E
Ball Square	Green-E
Medford/Tufts	Green-E
Bowdoin	Blue
Government Center	Blue
State	Blue
Aquarium	Blue
Maverick	Blue
Airport	Blue
Wood Island	Blue
Orient Heights	Blue
Suffolk Downs	Blue
Beachmont	Blue
Revere Beach	Blue
Wonderland	Blue
